S.No,Set,Full Name,Country,Age,Role,Batting Hand,Bowling Style,Capped/Uncapped,Base-Price
21,M2,Nicholas Pooran,West Indies,29,WICKETKEEPER,LHB,,Capped,200
22,SP1,Ravi Bishnoi,India,24,BOWLER,RHB,RIGHT ARM Leg Spin,Capped,200
23,FA1,Mayank Yadav,India,22,BOWLER,RHB,RIGHT ARM Fast,Capped,200
24,FA2,Mohsin Khan,India,26,BOWLER,LHB,LEFT ARM Fast Medium,Uncapped,200
25,AL3,Ayush Badoni,India,25,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,200
26,M1,Jasprit Bumrah,India,30,BOWLER,RHB,RIGHT ARM Fast,Capped,200
27,M1,Suryakumar Yadav,India,34,BATTER,RHB,RIGHT ARM Off Spin,Capped,200
28,M1,Hardik Pandya,India,31,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,200
29,M1,Rohit Sharma,India,37,BATTER,RHB,RIGHT ARM Off Spin,Capped,200
30,M1,Tilak Varma,India,22,BATTER,LHB,RIGHT ARM Off Spin,Capped,200
31,AL2,Shashank Singh,India,33,BATTER,RHB,RIGHT ARM Medium Off Spin,Uncapped,200
32,WK2,Prabhsimran Singh,India,24,WICKETKEEPER,RHB,,Uncapped,200
33,M2,Virat Kohli,India,36,BATTER,RHB,RIGHT ARM Medium,Capped,200
34,M2,Rajat Patidar,India,31,BATTER,RHB,RIGHT ARM Off Spin,Capped,200
35,FA2,Yash Dayal,India,26,BOWLER,RHB,LEFT ARM Fast Medium,Uncapped,200
36,M2,Sanju Samson,India,30,WICKETKEEPER,RHB,,Capped,200
37,M1,Yashasvi Jaiswal,India,22,BATTER,LHB,RIGHT ARM Leg Spin,Capped,200
38,BA1,Riyan Parag,India,23,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Capped,200
39,WK2,Dhruv Jurel,India,23,WICKETKEEPER,RHB,,Capped,200
40,BA2,Shimron Hetmyer,West Indies,27,BATTER,LHB,,Capped,200
41,FA2,Sandeep Sharma,India,31,BOWLER,RHB,RIGHT ARM Medium,Uncapped,200
42,M1,Pat Cummins,Australia,31,BOWLER,RHB,RIGHT ARM Fast,Capped,200
43,M2,Abhishek Sharma,India,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,200
44,AL1,Nitish Kumar Reddy,India,21,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,200
45,M2,Heinrich Klaasen,South Africa,33,WICKETKEEPER,RHB,,Capped,200
46,M2,Travis Head,Australia,30,BATTER,LHB,RIGHT ARM Off Spin,Capped,200
47,M2,Jos Buttler,England,34,WICKETKEEPER,RHB,RIGHT ARM Off Spin,Capped,200
48,M2,Shreyas Iyer,India,30,BATTER,RHB,RIGHT ARM Off Spin,Capped,200
49,M1,Rishabh Pant,India,27,BATTER,LHB,RIGHT ARM Off Spin,Capped,200
50,M1,Kagiso Rabada,South Africa,29,BOWLER,RHB,RIGHT ARM Fast,Capped,200
51,M1,Arshdeep Singh,India,26,BOWLER,LHB,LEFT ARM Fast Medium,Capped,200
52,M1,Mitchell Starc,Australia,35,BOWLER,LHB,LEFT ARM Fast,Capped,200
53,SP1,Yuzvendra Chahal,India,34,BOWLER,RHB,RIGHT ARM Leg Spin,Capped,200
54,AL1,Liam Livingstone,England,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Capped,200
55,BA2,David Miller,South Africa,35,BATTER,LHB,,Capped,150
56,M2,KL Rahul,India,32,WICKETKEEPER,RHB,,Capped,200
57,M2,Mohammad Shami,India,34,BOWLER,RHB,RIGHT ARM Fast,Capped,200
58,M2,Mohammad Siraj,India,31,BOWLER,RHB,RIGHT ARM Fast,Capped,200
59,BA1,Harry Brook,England,26,BATTER,RHB,RIGHT ARM Medium,Capped,200
60,BA1,Devon Conway,New Zealand,33,BATTER,LHB,,Capped,200
61,BA1,Jake Fraser-Mcgurk,Australia,22,BATTER,RHB,,Capped,200
62,BA1,Aiden Markram,South Africa,30,BATTER,RHB,RIGHT ARM Off Spin,Capped,200
63,BA1,Devdutt Padikkal,India,24,BATTER,LHB,,Capped,200
64,BA1,Rahul Tripathi,India,34,BATTER,RHB,RIGHT ARM Medium,Capped,75
65,BA1,David Warner,Australia,38,BATTER,LHB,,Capped,200
66,AL1,Ravichandaran Ashwin,India,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,200
67,AL1,Venkatesh Iyer,India,30,ALL-ROUNDER,LHB,RIGHT ARM Medium,Capped,200
68,AL1,Mitchell Marsh,Australia,33,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,200
69,AL1,Glenn Maxwell,Australia,36,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,200
70,AL1,Harshal Patel,India,34,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,200
71,AL1,Rachin Ravindra,New Zealand,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Capped,150
72,AL1,Marcus Stoinis,Australia,35,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,200
73,WK1,Jonny Bairstow,England,35,WICKETKEEPER,RHB,RIGHT ARM Medium,Capped,200
74,WK1,Quinton De Kock,South Africa,32,WICKETKEEPER,LHB,,Capped,200
75,WK1,Rahmanullah Gurbaz,Afghanistan,23,WICKETKEEPER,RHB,,Capped,200
76,WK1,Ishan Kishan,India,26,WICKETKEEPER,LHB,,Capped,200
77,WK1,Phil Salt,England,28,WICKETKEEPER,RHB,,Capped,200
78,WK1,Jitesh Sharma,India,31,WICKETKEEPER,RHB,,Capped,100
79,FA1,Syed Khaleel Ahmed,India,27,BOWLER,RHB,LEFT ARM Fast Medium,Capped,200
80,FA1,Trent Boult,New Zealand,35,BOWLER,RHB,LEFT ARM Fast Medium,Capped,200
81,FA1,Josh Hazlewood,Australia,34,BOWLER,LHB,RIGHT ARM Fast Medium,Capped,200
82,FA1,Avesh Khan,India,28,BOWLER,RHB,RIGHT ARM Fast,Capped,200
83,FA1,Prasidh Krishna,India,29,BOWLER,RHB,RIGHT ARM Fast,Capped,200
84,FA1,T. Natarajan,India,33,BOWLER,LHB,LEFT ARM Fast Medium,Capped,200
85,FA1,Anrich Nortje,South Africa,31,BOWLER,RHB,RIGHT ARM Fast,Capped,200
86,SP1,Noor Ahmad,Afghanistan,20,BOWLER,RHB,LEFT ARM Slow Unorthodox,Capped,200
87,SP1,Rahul Chahar,India,25,BOWLER,RHB,RIGHT ARM Leg Spin,Capped,100
88,SP1,Wanindu Hasaranga,Sri Lanka,27,BOWLER,RHB,RIGHT ARM Leg Spin,Capped,200
89,SP1,Waqar Salamkheil,Afghanistan,23,BOWLER,RHB,LEFT ARM Slow Unorthodox,Capped,75
90,SP1,Maheesh Theekshana,Sri Lanka,24,BOWLER,RHB,RIGHT ARM Off Spin,Capped,200
91,SP1,Adam Zampa,Australia,32,BOWLER,RHB,RIGHT ARM Leg Spin,Capped,200
92,UBA1,Yash Dhull,India,22,BATTER,RHB,,Uncapped,30
93,UBA1,Abhinav Manohar,India,30,BATTER,RHB,RIGHT ARM Leg Spin,Uncapped,30
94,UBA1,Karun Nair,India,33,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
95,UBA1,Angkrish Raghuvanshi,India,20,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
96,UBA1,Anmolpreet Singh,India,27,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
97,UBA1,Atharva Taide,India,24,BATTER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
98,UBA1,Nehal Wadhera,India,24,BATTER,LHB,RIGHT ARM Leg Spin,Uncapped,30
99,UAL1,Harpreet Brar,India,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
100,UAL1,Naman Dhir,India,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
101,UAL1,Mahipal Lomror,India,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,50
102,UAL1,Sameer Rizvi,India,21,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,30
103,UAL1,Abdul Samad,India,23,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,30
104,UAL1,Vijay Shankar,India,34,ALL-ROUNDER,RHB,RIGHT ARM Medium,Uncapped,30
105,UAL1,Ashutosh Sharma,India,26,ALL-ROUNDER,RHB,RIGHT ARM Medium,Uncapped,30
106,UAL1,Nishant Sindhu,India,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
107,UAL1,Utkarsh Singh,India,26,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Uncapped,30
108,UWK1,Aryan Juyal,India,23,WICKETKEEPER,RHB,RIGHT ARM Off Spin,Uncapped,30
109,UWK1,Kumar Kushagra,India,20,WICKETKEEPER,RHB,,Uncapped,30
110,UWK1,Robin Minz,India,22,WICKETKEEPER,LHB,RIGHT ARM Off Spin,Uncapped,30
111,UWK1,Anuj Rawat,India,25,WICKETKEEPER,LHB,RIGHT ARM Leg Spin,Uncapped,30
112,UWK1,Luvnith Sisodia,India,25,WICKETKEEPER,LHB,,Uncapped,30
113,UWK1,Vishnu Vinod,India,31,WICKETKEEPER,RHB,,Uncapped,30
114,UWK1,Upendra Singh Yadav,India,28,WICKETKEEPER,RHB,,Uncapped,30
115,UFA1,Vaibhav Arora,India,27,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
116,UFA1,Rasikh Dar,India,25,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
117,UFA1,Akash Madhwal,India,31,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
118,UFA1,Mohit Sharma,India,36,BOWLER,RHB,RIGHT ARM Fast,Uncapped,50
119,UFA1,Simarjeet Singh,India,27,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
120,UFA1,Yash Thakur,India,26,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
121,UFA1,Kartik Tyagi,India,24,BOWLER,RHB,RIGHT ARM Fast,Uncapped,40
122,UFA1,Vyshak Vijaykumar,India,28,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
123,USP1,Piyush Chawla,India,36,BOWLER,LHB,RIGHT ARM Leg Spin,Uncapped,50
124,USP1,Shreyas Gopal,India,31,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
125,USP1,Mayank Markande,India,27,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
126,USP1,Suyash Sharma,India,21,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
127,USP1,Karn Sharma,India,37,BOWLER,LHB,RIGHT ARM Leg Spin,Uncapped,50
128,USP1,Kumar Kartikeya Singh,India,27,BOWLER,RHB,LEFT ARM Slow Orthodox,Uncapped,30
129,USP1,Manav Suthar,India,22,BOWLER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
130,BA2,Mayank Agarawal,India,34,BATTER,RHB,RIGHT ARM Off Spin,Capped,100
131,BA2,Faf Du Plessis,South Africa,40,BATTER,RHB,,Capped,200
132,BA2,Glenn Phillips,New Zealand,28,BATTER,RHB,RIGHT ARM Off Spin,Capped,200
133,BA2,Rovman Powell,West Indies,31,BATTER,RHB,RIGHT ARM Fast Medium,Capped,150
134,BA2,Ajinkya Rahane,India,36,BATTER,RHB,,Capped,150
135,BA2,Prithvi Shaw,India,25,BATTER,RHB,,Capped,75
136,BA2,Kane Williamson,New Zealand,34,BATTER,RHB,,Capped,200
137,AL2,Sam Curran,England,26,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,Capped,200
138,AL2,Marco Jansen,South Africa,24,ALL-ROUNDER,RHB,LEFT ARM Fast,Capped,125
139,AL2,Daryl Mitchell,New Zealand,33,ALL-ROUNDER,RHB,RIGHT ARM Medium,Capped,200
140,AL2,Krunal Pandya,India,34,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Capped,200
141,AL2,Nitish Rana,India,31,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Capped,150
142,AL2,Washington Sundar,India,25,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Capped,200
143,AL2,Shardul Thakur,India,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,200
144,WK2,K.S Bharat,India,31,WICKETKEEPER,RHB,,Capped,75
145,WK2,Alex Carey,Australia,33,WICKETKEEPER,LHB,,Capped,100
146,WK2,Donovan Ferreira,South Africa,26,WICKETKEEPER,RHB,RIGHT ARM Off Spin,Capped,75
147,WK2,Shai Hope,West Indies,31,WICKETKEEPER,RHB,,Capped,125
148,WK2,Josh Inglis,Australia,30,WICKETKEEPER,RHB,,Capped,200
149,WK2,Ryan Rickelton,South Africa,28,WICKETKEEPER,LHB,,Capped,100
150,FA2,Deepak Chahar,India,32,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,200
151,FA2,Gerald Coetzee,South Africa,24,BOWLER,RHB,RIGHT ARM Fast,Capped,125
152,FA2,Akash Deep,India,28,BOWLER,RHB,RIGHT ARM Fast,Capped,100
153,FA2,Tushar Deshpande,India,29,BOWLER,LHB,RIGHT ARM Fast,Capped,100
154,FA2,Lockie Ferguson,New Zealand,33,BOWLER,RHB,RIGHT ARM Fast,Capped,200
155,FA2,Bhuvneshwar Kumar,India,35,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,200
156,FA2,Mukesh Kumar,India,31,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,200
157,SP2,Allah Ghazanfar,Afghanistan,19,BOWLER,RHB,RIGHT ARM Off Spin,Capped,75
158,SP2,Akeal Hosein,West Indies,31,BOWLER,LHB,LEFT ARM Slow Orthodox,Capped,150
159,SP2,Keshav Maharaj,South Africa,35,BOWLER,RHB,LEFT ARM Slow Orthodox,Capped,75
160,SP2,Mujeeb Ur Rahman,Afghanistan,24,BOWLER,RHB,RIGHT ARM Off Spin,Capped,200
161,SP2,Adil Rashid,England,37,BOWLER,RHB,RIGHT ARM Leg Spin,Capped,200
162,SP2,Vijayakanth Viyaskanth,Sri Lanka,23,BOWLER,RHB,RIGHT ARM Leg Spin,Capped,75
163,UBA2,Ricky Bhui,India,28,BATTER,RHB,,Uncapped,30
164,UBA2,Swastik Chhikara,India,20,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
165,UBA2,Aarya Desai,India,22,BATTER,LHB,RIGHT ARM Off Spin,Uncapped,30
166,UBA2,Shubham Dubey,India,30,BATTER,LHB,RIGHT ARM Off Spin,Uncapped,30
167,UBA2,Madhav Kaushik,India,27,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
168,UBA2,Pukhraj Mann,India,23,BATTER,LHB,RIGHT ARM Off Spin,Uncapped,30
169,UBA2,Shaik Rasheed,India,20,BATTER,RHB,RIGHT ARM Leg Spin,Uncapped,30
170,UBA2,Himmat Singh,India,28,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
171,UAL2,Mayank Dagar,India,28,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Uncapped,30
172,UAL2,Anshul Kamboj,India,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
173,UAL2,Mohd. Arshad Khan,India,27,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,Uncapped,30
174,UAL2,Darshan Nalkande,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
175,UAL2,Suyash Prabhudessai,India,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,Uncapped,30
176,UAL2,Anukul Roy,India,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
177,UAL2,Swapnil Singh,India,34,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Uncapped,30
178,UAL2,Sanvir Singh,India,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,Uncapped,30
179,UWK2,Avanish Aravelly,India,19,WICKETKEEPER,LHB,RIGHT ARM Off Spin,Uncapped,30
180,UWK2,Vansh Bedi,India,22,WICKETKEEPER,RHB,,Uncapped,30
181,UWK2,Saurav Chauhan,India,24,WICKETKEEPER,LHB,RIGHT ARM Off Spin,Uncapped,30
182,UWK2,Harvik Desai,India,25,WICKETKEEPER,RHB,,Uncapped,30
183,UWK2,Tom Kohler-Cadmore,England,30,WICKETKEEPER,RHB,,Uncapped,50
184,UWK2,Kunal Rathore,India,22,WICKETKEEPER,LHB,RIGHT ARM Off Spin,Uncapped,30
185,UWK2,B.R Sharath,India,28,WICKETKEEPER,RHB,,Uncapped,30
186,UFA2,Gurnoor Singh Brar,India,24,BOWLER,LHB,RIGHT ARM Fast,Uncapped,30
187,UFA2,Mukesh Choudhary,India,28,BOWLER,LHB,LEFT ARM Fast,Uncapped,30
188,UFA2,Sakib Hussain,India,20,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
189,UFA2,Vidwath Kaverappa,India,26,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
190,UFA2,Rajan Kumar,India,28,BOWLER,LHB,LEFT ARM Fast,Uncapped,30
191,UFA2,Sushant Mishra,India,24,BOWLER,LHB,LEFT ARM Fast,Uncapped,30
192,UFA2,Arjun Tendulkar,India,25,BOWLER,LHB,LEFT ARM Fast Medium,Uncapped,30
193,USP2,Zeeshan Ansari,India,25,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
194,USP2,Prince Choudhary,India,25,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
195,USP2,Himanshu Sharma,India,26,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
196,USP2,M. Siddharth,India,26,BOWLER,RHB,LEFT ARM Slow Orthodox,Uncapped,30
197,USP2,Digvesh Singh,India,25,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
198,USP2,Prashant Solanki,India,25,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
199,USP2,Jhathavedh Subramanyan,India,25,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
200,BA3,Finn Allen,New Zealand,25,BATTER,RHB,,Capped,200
201,BA3,Dewald Brevis,South Africa,21,BATTER,RHB,RIGHT ARM Leg Spin,Capped,75
202,BA3,Ben Duckett,England,30,BATTER,LHB,,Capped,200
203,BA3,Manish Pandey,India,35,BATTER,RHB,,Capped,75
204,BA3,Rilee Rossouw,South Africa,35,BATTER,LHB,,Capped,200
205,BA3,Sherfane Rutherford,West Indies,26,BATTER,LHB,RIGHT ARM Fast Medium,Capped,150
206,BA3,Ashton Turner,Australia,32,BATTER,RHB,RIGHT ARM Off Spin,Capped,100
207,BA3,James Vince,England,34,BATTER,RHB,,Capped,200
208,AL3,Shahbaz Ahamad,India,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Capped,100
209,AL3,Moeen Ali,England,37,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Capped,200
210,AL3,Tim David,Australia,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,200
211,AL3,Deepak Hooda,India,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,75
212,AL3,Will Jacks,England,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,200
213,AL3,Azmatullah Omarzai,Afghanistan,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,150
214,AL3,R. Sai Kishore,India,28,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,Capped,75
215,AL3,Romario Shepherd,West Indies,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,150
216,WK3,Tom Banton,England,26,WICKETKEEPER,RHB,RIGHT ARM Off Spin,Capped,200
217,WK3,Sam Billings,England,33,WICKETKEEPER,RHB,,Capped,150
218,WK3,Jordan Cox,England,24,WICKETKEEPER,RHB,,Capped,125
219,WK3,Ben McDermott,Australia,30,WICKETKEEPER,RHB,RIGHT ARM Off Spin,Capped,75
220,WK3,Kusal Mendis,Sri Lanka,30,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,Capped,75
221,WK3,Kusal Perera,Sri Lanka,34,WICKETKEEPER,LHB,,Capped,75
222,WK3,Josh Philippe,Australia,27,WICKETKEEPER,RHB,,Capped,75
223,WK3,Tim Seifert,New Zealand,30,WICKETKEEPER,RHB,,Capped,125
224,FA3,Nandre Burger,South Africa,29,BOWLER,LHB,LEFT ARM Fast,Capped,125
225,FA3,Spencer Johnson,Australia,29,BOWLER,LHB,LEFT ARM Fast,Capped,200
226,FA3,Umran Malik,India,25,BOWLER,RHB,RIGHT ARM Fast,Capped,75
227,FA3,Mustafizur Rahman,Bangladesh,29,BOWLER,LHB,LEFT ARM Fast,Capped,200
228,FA3,Ishant Sharma,India,36,BOWLER,RHB,RIGHT ARM Fast,Capped,75
229,FA3,Nuwan Thushara,Sri Lanka,30,BOWLER,RHB,RIGHT ARM Fast,Capped,75
230,FA3,Naveen Ul Haq,Afghanistan,25,BOWLER,RHB,RIGHT ARM Medium,Capped,200
231,FA3,Jaydev Unadkat,India,33,BOWLER,RHB,LEFT ARM Fast Medium,Capped,100
232,FA3,Umesh Yadav,India,37,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,200
233,SP3,Rishad Hossain,Bangladesh,22,BOWLER,RHB,RIGHT ARM Leg Spin,Capped,75
234,SP3,Zahir Khan Pakten,Afghanistan,26,BOWLER,LHB,LEFT ARM Slow Unorthodox,Capped,75
235,SP3,Nqabayomzi Peter,South Africa,23,BOWLER,RHB,RIGHT ARM Leg Spin,Capped,75
236,SP3,Tanveer Sangha,Australia,23,BOWLER,RHB,RIGHT ARM Leg Spin,Capped,75
237,SP3,Tabraiz Shamsi,South Africa,35,BOWLER,RHB,LEFT ARM Slow Unorthodox,Capped,200
238,SP3,Jeffery Vandersay,Sri Lanka,35,BOWLER,RHB,RIGHT ARM Leg Spin,Capped,75
239,UBA3,Sachin Baby,India,36,BATTER,LHB,RIGHT ARM Off Spin,Uncapped,30
240,UBA3,Priyam Garg,India,24,BATTER,RHB,,Uncapped,30
241,UBA3,Harnoor Pannu,India,22,BATTER,LHB,RIGHT ARM Leg Spin,Uncapped,30
242,UBA3,Smaran Ravichandran,India,21,BATTER,LHB,RIGHT ARM Off Spin,Uncapped,30
243,UBA3,Shashwat Rawat,India,24,BATTER,RHB,RIGHT ARM Medium,Uncapped,30
244,UBA3,Andre Siddarth,India,18,BATTER,RHB,,Uncapped,30
245,UBA3,Avneesh Sudha,India,23,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
246,UBA3,Apoorv Wankhade,India,33,BATTER,RHB,,Uncapped,30
247,UAL3,Yudhvir Charak,India,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
248,UAL3,Rishi Dhawan,India,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
249,UAL3,Rajvardhan Hangargekar,India,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
250,UAL3,Tanush Kotian,India,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
251,UAL3,Arshin Kulkarni,India,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
252,UAL3,Shams Mulani,India,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
253,UAL3,Shivam Singh,India,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
254,UAL3,Lalit Yadav,India,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
255,UWK3,Mohammed Azharuddeen,India,31,WICKETKEEPER,RHB,,Uncapped,30
256,UWK3,L.R Chethan,India,24,WICKETKEEPER,RHB,RIGHT ARM Off Spin,Uncapped,30
257,UWK3,Aryaman Singh Dhaliwal,India,22,WICKETKEEPER,RHB,LEFT ARM Slow Orthodox,Uncapped,30
258,UWK3,Urvil Patel,India,26,WICKETKEEPER,RHB,,Uncapped,30
259,UWK3,Sanskar Rawat,India,19,WICKETKEEPER,LHB,,Uncapped,30
260,UWK3,Bipin Saurabh,India,25,WICKETKEEPER,RHB,RIGHT ARM Off Spin,Uncapped,30
261,UWK3,Tanay Thyagarajann,India,29,WICKETKEEPER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
262,UFA3,Money Grewal,India,24,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
263,UFA3,Ashwani Kumar,India,23,BOWLER,LHB,LEFT ARM Fast,Uncapped,30
264,UFA3,Ishan Porel,India,26,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
265,UFA3,Abhilash Shetty,India,26,BOWLER,LHB,LEFT ARM Fast Medium,Uncapped,30
266,UFA3,Akash Singh,India,22,BOWLER,RHB,LEFT ARM Fast,Uncapped,30
267,UFA3,Gurjapneet Singh,India,26,BOWLER,RHB,LEFT ARM Fast Medium,Uncapped,30
268,UFA3,Basil Thampi,India,31,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
269,USP3,Murugan Ashwin,India,34,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
270,USP3,Shreyas Chavan,India,21,BOWLER,LHB,RIGHT ARM Leg Spin,Uncapped,30
271,USP3,Chintal Gandhi,India,30,BOWLER,LHB,RIGHT ARM Leg Spin,Uncapped,30
272,USP3,Raghav Goyal,India,23,BOWLER,LHB,LEFT ARM Slow Unorthodox,Uncapped,30
273,USP3,Jagadeesha Suchith,India,31,BOWLER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
